Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxStdErrRelative,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,StdDev,Op/s,Gen 0,Gen 1,Allocated
Sync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,20.2238 us,0.0964 us,49446.57,-,-,0 kB
TaskAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,30.6326 us,0.3065 us,32645,7.7250,-,24.25 kB
TaskCheckedAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,30.0058 us,0.1833 us,33326.85,7.7250,-,24.25 kB
ValueTaskAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,35.1996 us,0.3619 us,28409.39,-,-,0 kB
ValueTaskWrappedAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,33.2181 us,0.2537 us,30104.09,1.2667,0.0083,3.99 kB
ValueTaskDecimalReferenceAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,30.1789 us,0.6205 us,33135.76,3.0917,-,9.7 kB
ValueTaskCheckedAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,32.5184 us,0.2960 us,30751.79,-,-,0 kB
HandCrankedAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,25.8619 us,0.1911 us,38666.89,-,-,0 kB
AssertCompletedAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,27.9178 us,0.1402 us,35819.44,-,-,0 kB
TaskDoubleAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,26.0973 us,0.2359 us,38318.2,6.9500,-,21.83 kB
ValueTaskDoubleAsync,Default,False,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,False,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,28.7127 us,0.2823 us,34827.83,-,-,0 kB
